num,name
20,السنط أﻣبليسبس 
21,السنط الفيض 
22,السلم 
23,العراد 
24,الطلح الأنباري عنبر فتنة 
25,السمر النجدي السنط الورقي السنط العراقي 
26,سنط الصفصاف 
27,سنط كارو 
28,السنط الخيمي 
29,السنط العريب قرض 
30,السنط الذهبي 
31,سنط كبا 
32,سنط سالجنا 
33,السنط السيال 
34,السمر 
35,السمر 
36,السنط الأنيق 
37,ذيل القط الأحمر 
38,نبات النحاس 
39,وردة الصحراء عدنة الأسفيد 
40,الصبار الأمريكي 
41,الصبار الكاريبي 
42,صبار ذيل الثعلب 
43,صبار سيسل 
44,اللبخ ذقن الباشا 
45,الخطمي 
46,البوق الذهبي 
47,القلقاس أذن الفيل 
48,صبار ألو 
49,الصبار الصبار السقال 
50,الخيط الذهبي 
51,السبانخ الصيني 
52,مرجان متسلق 
53,فم السمكة أنف الثور 
54,زهرة الشمس الصغرية 
55,بهجة الصباح 
56,نبات الفيل الزاحف 
57,الغاب 
58,الصقالب القرمزي 
59,الرسخس الهليوين 
60,البريق البصيل الربوق 
61,القطف 
62,الرغل 
63,النيم الرشيش 
64,القطني القطينة 
65,الرسو الصيفي 
66,شجرة الفراشة خف الجمل 
67,شوك الضب 
68,شجرة الحرير 
69,الجهنمية 
70,الجهنمية 
71,بودرة العفريت 
72,بودرة العفريت 
73,شجرية الثلج 
74,بونسيانا جليالس 
75,الحمر زهرة الطاووس 
76,األذريون ذهب مريم 
77,األرطى العبل 
78,فرشة الزجاج 
79,فرشة الزجاج 
80,العرش 
81,الكانا 
82,الشفلح 
83,الباباي 
84,الياسمني الهندي 
85,نبات الحي علم 
86,حي علم 
87,خيار شمرب 
88,العرشق 
89,الخيار البلدي 
90,الكازوارينا 
91,الونكة 
92,عرف الديك 
93,السنتوريا الفضية 
94,الخروب 
95,رسسيديم 
96,السسرتم األحمر 
97,ملكة الليل 
98,السسرتم التشييل 
99,النخيل املروحي 
100,صفصاف الصحراء 
101,شجرة خيط الحرير 
102,السندروس 
103,الحنظل الرشي 
104,اللومي 
105,النارنج برتقال إشبيلية الحامض 
106,الليمون 
107,األترنج 
108,اليوسفي املندرين 
109,الياسمني الزفر 
110,طربوش امللك 
111,بسلة الزهور 
112,الالفندر زهرة البوق 
113,الكروتون الذهبي 
114,الدمس 
115,الدمس 
116,العليق الفيض 
117,المديد العليق الرخامى 
118,البنرب املخيط الدبق 
119,الحلفا 
120,الزنبق اآلسيوي 
121,الرسو الفيض 
122,الرسو املخروطي الرسو العمودي 
123,الرسخس السيكاس املرتد 
124,حشيشة الليمون 
125,النجم النجيل 
126,السعد املظيل 
127,الرسسوع 
128,البونسيانا 
129,الشث 
130,زهرة الندى 
131,توت الحامم 
132,نبات املفرقعات 
133,شدق الجمل 
134,شوك الجمل 
135,الشجرية الهشة 
136,البشملة إسكدنيا 
137,الكينا الكافور 
138,الكينا الكافور 
139,الكينا الكافور 
140,تاج الشوك أم اللنب 
141,نبات القلم أم اللنب 
142,الحراز 
143,شجرة القنصل التني النبيل 
144,التني البنغايل 
145,التني املتهدل 
146,التني 
147,الغار الصيني الباندا 
148,الغار الهندي نيتدا 
149,الجميز الحامط 
150,فيكس البوميال 
151,الفيكس لسان العصفور 
152,شجرة الصدأ 
153,األثاب 
154,الجاردينيا ياسمني كيب 
155,الجزانيا الفيض صنف لوكالينا 
156,الجزانيا الفيض صنف ريجنز 
157,الجزانيا الفيض صنف يونيفلورا 
158,البلوط الحريري 
159,الغىض 
160,الرمرام 
161,الخطمي الوردي الصيني الكركديه 
162,الخبازي الساحيل 
163,البطاطا الحلوة الجزر اليامين 
164,نبات ست الحسن 
165,نبات ظلف املاعز 
166,دم العاشق 
167,اللهب الصيني 
168,لهب الغابة 
169,الجكراندا 
170,نبات الكتلة الزرقاء 
171,الياسمني البلدي 
172,الياسمني الوردي 
173,الفل الياسمني العريب 
174,الجاتروفا 
175,السامر النمص األسل الوسل 
176,نبات األملاسة 
177,نبات شوك الشيطان 
178,اآلس املجعد 
179,زهرة الربيع صابون الراعي بخور مريم 
180,نبات الجليد األحمر 
181,نبات الجليد الذهبي 
182,الالنتانا فابيوال 
183,الالنتانا الزاحف 
184,الضعة 
185,الالتان األزرق النخيل املروحي 
186,صفارى حواء 
187,الالفندر الشائع 
188,الالفندر املسنن الالفندر الفرنيس 
189,الحناء 
190,اللوسينيا 
191,املرامية الفضية 
192,اللوبيليا 
193,األليسيوم 
194,الياسمني العراقي 
195,العوسج العوشز 
196,مخلب القط 
197,الرسح مرو 
198,الخباز الشمعي الطربوش 
199,املانجو 
200,الزنزلخت 
201,النعناع الحار 
202,الزان الهندي أبو جازية 
203,يرق أذان الحامر إذن الحامر 
204,البان اليرس 
205,التوت 
206,الياسمني الربتقايل الياسمني األفريقي 
207,املوز الحلو 
208,املوز القزم 
209,اآلس الحمبالس 
210,اللوتس 
211,الدفلة 
212,اللوتس األزرق 
213,اللوتس 
214,القريض العلندرا 
215,الريحان 
216,الزيتون 
217,التني الشويك الصبار 
218,األقحوان األفريقي زهرة اللؤلؤ األفريقية 
219,الكادي 
220,الباركنسونيا 
221,الباسبامل 
222,إبرة الراعي 
223,العطرة إبرة الراعي الليموين 
224,العطرة 
225,اللهب األصفر 
226,الحلفا 
227,البنتاس املرصي 
228,البتونيا 
229,نخيل الكناري 
230,نخيل البلح 
232,النخيل القزمي 
233,العقربان الهجنا الغاب 
234,الصنوبر الحلبي 
235,اللوز الهندي 
236,البتبورم 
237,القراص 
238,الياسمني األزرق 
239,البلوماريا 
240,البلوماريا 
241,حشيشة بكرل 
242,زهرة الصباح 
243,زهرة الصباح 
244,العقيق 
245,الغاف األبيض 
246,الغاف التشييل 
247,الينبوت 
248,الغاف البحري 
249,اإليرانثيمم الكاذب 
250,الجوافة 
251,الجثجاث 
252,الرمان 
253,زهرة اللهب 
254,متر حنة الياسمني الهندي 
255,ذيل الخروف 
256,العرفج 
257,الحرمل 
258,الخروع 
259,الورد الصيني 
260,الورد املتسلق 
261,حصا البان إكليل الجبل 
262,النخيل املليك 
263,البتونيا الربي 
264,الحميض 
265,مكنسة النجار 
266,نبات املرجان 
267,نخيل البلميط 
268,األراك السواك 
269,رسخس الفراشة 
270,لسان العفريت 
271,لسان العفريت 
272,الشيح الالفندر القطني 
273,الشيح الالفندر األخرض القطني 
274,الوهج املتسلق 
275,الفلفل رفيع األوراق 
276,الفلفل عريض األوراق 
277,وتكاري 
278,السنتوريا الفضية 
279,السنا املجنح 
280,السنا الفيض 
281,السنا األرجنتيني 
282,السنا الغريب 
283,سيسبان 
284,الدلب 
285,حشيشة الجاموس 
286,النيص 
287,عصفور الجنة 
288,عصفور الجنة 
289,سنجونيوم 
290,شجرة البوق 
291,متر هندي 
292,األثل 
293,األثل الفرنيس 
294,األثل الطرفا 
295,التيكوما 
296,التيكوماريا 
297,الرتمنيال 
298,اللوز البجيل اللوز الهندي 
299,العيهالن القصباء 
300,الكنا املائية 
301,البورتيا 
302,الدفلة الصفراء 
303,أبو املكارم 
304,القلب األرجواين 
305,نبات املحار 
306,أبو خنجر 
307,الفربينا 
308,القنب 
309,القنب 
310,العنب 
311,النخيل املروحي 
312,نخيل واشنطونيا 
313,رجل األرنب 
314,سم الفار كرز الشتاء الجينسينج الهندي 
315,اليوكا 
316,اليوكا 
317,الزبرينا 
318,الزلة الشربم 
319,الزنيا 
320,السدر 
321,السدر النبق 
322,السدر 
323,النجيل الكوري 
324,نبات الهرم حامض بطباط رطريط 
